dexnum,name,generation,type1,type2
199,Slowking,2,Water,Psychic
200,Misdreavus,2,Ghost,
201,Unown,2,Psychic,
202,Wobbuffet,2,Psychic,
203,Girafarig,2,Normal,Psychic
204,Pineco,2,Bug,
205,Forretress,2,Bug,Steel
206,Dunsparce,2,Normal,
207,Gligar,2,Ground,Flying
208,Steelix,2,Steel,Ground
209,Snubbull,2,Fairy,
210,Granbull,2,Fairy,
211,Qwilfish,2,Water,Poison
212,Scizor,2,Bug,Steel
213,Shuckle,2,Bug,Rock
214,Heracross,2,Bug,Fighting
215,Sneasel,2,Dark,Ice
216,Teddiursa,2,Normal,
217,Ursaring,2,Normal,
218,Slugma,2,Fire,
219,Magcargo,2,Fire,Rock
220,Swinub,2,Ice,Ground
221,Piloswine,2,Ice,Ground
222,Corsola,2,Water,Rock
223,Remoraid,2,Water,
224,Octillery,2,Water,
225,Delibird,2,Ice,Flying
226,Mantine,2,Water,Flying
227,Skarmory,2,Steel,Flying
228,Houndour,2,Dark,Fire
229,Houndoom,2,Dark,Fire
230,Kingdra,2,Water,Dragon
231,Phanpy,2,Ground,
232,Donphan,2,Ground,
233,Porygon2,2,Normal,
234,Stantler,2,Normal,
235,Smeargle,2,Normal,
236,Tyrogue,2,Fighting,
237,Hitmontop,2,Fighting,
238,Smoochum,2,Ice,Psychic
239,Elekid,2,Electric,
240,Magby,2,Fire,
241,Miltank,2,Normal,
242,Blissey,2,Normal,
243,Raikou,2,Electric,
244,Entei,2,Fire,
245,Suicune,2,Water,
246,Larvitar,2,Rock,Ground
247,Pupitar,2,Rock,Ground
248,Tyranitar,2,Rock,Dark
249,Lugia,2,Psychic,Flying
250,Ho-oh,2,Fire,Flying
251,Celebi,2,Psychic,Grass
252,Treecko,3,Grass,
253,Grovyle,3,Grass,
254,Sceptile,3,Grass,
255,Torchic,3,Fire,
256,Combusken,3,Fire,Fighting
257,Blaziken,3,Fire,Fighting
258,Mudkip,3,Water,
259,Marshtomp,3,Water,Ground
260,Swampert,3,Water,Ground
261,Poochyena,3,Dark,
262,Mightyena,3,Dark,
263,Zigzagoon,3,Normal,
264,Linoone,3,Normal,
265,Wurmple,3,Bug,
266,Silcoon,3,Bug,
267,Beautifly,3,Bug,Flying
268,Cascoon,3,Bug,
269,Dustox,3,Bug,Poison
270,Lotad,3,Water,Grass
271,Lombre,3,Water,Grass
272,Ludicolo,3,Water,Grass
273,Seedot,3,Grass,
274,Nuzleaf,3,Grass,Dark
275,Shiftry,3,Grass,Dark
276,Taillow,3,Normal,Flying
277,Swellow,3,Normal,Flying
278,Wingull,3,Water,Flying
279,Pelipper,3,Water,Flying
280,Ralts,3,Psychic,Fairy
281,Kirlia,3,Psychic,Fairy
282,Gardevoir,3,Psychic,Fairy
283,Surskit,3,Bug,Water
284,Masquerain,3,Bug,Flying
285,Shroomish,3,Grass,
286,Breloom,3,Grass,Fighting
287,Slakoth,3,Normal,
288,Vigoroth,3,Normal,
289,Slaking,3,Normal,
290,Nincada,3,Bug,Ground
291,Ninjask,3,Bug,Flying
292,Shedinja,3,Bug,Ghost
293,Whismur,3,Normal,
294,Loudred,3,Normal,
295,Exploud,3,Normal,
296,Makuhita,3,Fighting,
297,Hariyama,3,Fighting,
298,Azurill,3,Normal,Fairy
299,Nosepass,3,Rock,
300,Skitty,3,Normal,
301,Delcatty,3,Normal,
302,Sableye,3,Dark,Ghost
303,Mawile,3,Steel,Fairy
304,Aron,3,Steel,Rock
305,Lairon,3,Steel,Rock
306,Aggron,3,Steel,Rock
307,Meditite,3,Fighting,Psychic
308,Medicham,3,Fighting,Psychic
309,Electrike,3,Electric,
310,Manectric,3,Electric,
311,Plusle,3,Electric,
312,Minun,3,Electric,
313,Volbeat,3,Bug,
314,Illumise,3,Bug,
315,Roselia,3,Grass,Poison
316,Gulpin,3,Poison,
317,Swalot,3,Poison,
318,Carvanha,3,Water,Dark
319,Sharpedo,3,Water,Dark
320,Wailmer,3,Water,
321,Wailord,3,Water,
322,Numel,3,Fire,Ground
323,Camerupt,3,Fire,Ground
324,Torkoal,3,Fire,
325,Spoink,3,Psychic,
326,Grumpig,3,Psychic,
327,Spinda,3,Normal,
328,Trapinch,3,Ground,
329,Vibrava,3,Ground,Dragon
330,Flygon,3,Ground,Dragon
331,Cacnea,3,Grass,
332,Cacturne,3,Grass,Dark
333,Swablu,3,Normal,Flying
334,Altaria,3,Dragon,Flying
335,Zangoose,3,Normal,
336,Seviper,3,Poison,
337,Lunatone,3,Rock,Psychic
338,Solrock,3,Rock,Psychic
339,Barboach,3,Water,Ground
340,Whiscash,3,Water,Ground
341,Corphish,3,Water,
342,Crawdaunt,3,Water,Dark
343,Baltoy,3,Ground,Psychic
344,Claydol,3,Ground,Psychic
345,Lileep,3,Rock,Grass
346,Cradily,3,Rock,Grass
347,Anorith,3,Rock,Bug
348,Armaldo,3,Rock,Bug
349,Feebas,3,Water,
350,Milotic,3,Water,
351,Castform,3,Normal,
352,Kecleon,3,Normal,
353,Shuppet,3,Ghost,
354,Banette,3,Ghost,
355,Duskull,3,Ghost,
356,Dusclops,3,Ghost,
357,Tropius,3,Grass,Flying
358,Chimecho,3,Psychic,
359,Absol,3,Dark,
360,Wynaut,3,Psychic,
361,Snorunt,3,Ice,
362,Glalie,3,Ice,
363,Spheal,3,Ice,Water
364,Sealeo,3,Ice,Water
365,Walrein,3,Ice,Water
366,Clamperl,3,Water,
367,Huntail,3,Water,
368,Gorebyss,3,Water,
369,Relicanth,3,Water,Rock
370,Luvdisc,3,Water,
371,Bagon,3,Dragon,
372,Shelgon,3,Dragon,
373,Salamence,3,Dragon,Flying
374,Beldum,3,Steel,Psychic
375,Metang,3,Steel,Psychic
376,Metagross,3,Steel,Psychic
377,Regirock,3,Rock,
378,Regice,3,Ice,
379,Registeel,3,Steel,
380,Latias,3,Dragon,Psychic
381,Latios,3,Dragon,Psychic
382,Kyogre,3,Water,
383,Groudon,3,Ground,
384,Rayquaza,3,Dragon,Flying
385,Jirachi,3,Steel,Psychic
386,Deoxys,3,Psychic,
387,Turtwig,4,Grass,
388,Grotle,4,Grass,
389,Torterra,4,Grass,Ground
390,Chimchar,4,Fire,
391,Monferno,4,Fire,Fighting
392,Infernape,4,Fire,Fighting
393,Piplup,4,Water,
394,Prinplup,4,Water,
395,Empoleon,4,Water,Steel
396,Starly,4,Normal,Flying
397,Staravia,4,Normal,Flying
398,Staraptor,4,Normal,Flying
399,Bidoof,4,Normal,
400,Bibarel,4,Normal,Water
401,Kricketot,4,Bug,
402,Kricketune,4,Bug,
403,Shinx,4,Electric,
404,Luxio,4,Electric,
405,Luxray,4,Electric,
406,Budew,4,Grass,Poison
407,Roserade,4,Grass,Poison
408,Cranidos,4,Rock,
409,Rampardos,4,Rock,
410,Shieldon,4,Rock,Steel
411,Bastiodon,4,Rock,Steel
412,Burmy,4,Bug,
413,Wormadam,4,Bug,Grass
414,Mothim,4,Bug,Flying
415,Combee,4,Bug,Flying
416,Vespiquen,4,Bug,Flying
417,Pachirisu,4,Electric,
418,Buizel,4,Water,
419,Floatzel,4,Water,
420,Cherubi,4,Grass,
421,Cherrim,4,Grass,
422,Shellos,4,Water,
423,Gastrodon,4,Water,Ground
424,Ambipom,4,Normal,
425,Drifloon,4,Ghost,Flying
426,Drifblim,4,Ghost,Flying
427,Buneary,4,Normal,
428,Lopunny,4,Normal,
429,Mismagius,4,Ghost,
430,Honchkrow,4,Dark,Flying
431,Glameow,4,Normal,
432,Purugly,4,Normal,
433,Chingling,4,Psychic,
434,Stunky,4,Poison,Dark
435,Skuntank,4,Poison,Dark
436,Bronzor,4,Steel,Psychic
437,Bronzong,4,Steel,Psychic
438,Bonsly,4,Rock,
439,Mime Jr.,4,Psychic,Fairy
440,Happiny,4,Normal,
441,Chatot,4,Normal,Flying
442,Spiritomb,4,Ghost,Dark
443,Gible,4,Dragon,Ground
444,Gabite,4,Dragon,Ground
445,Garchomp,4,Dragon,Ground
446,Munchlax,4,Normal,
447,Riolu,4,Fighting,
448,Lucario,4,Fighting,Steel
449,Hippopotas,4,Ground,
450,Hippowdon,4,Ground,
451,Skorupi,4,Poison,Bug
452,Drapion,4,Poison,Dark
453,Croagunk,4,Poison,Fighting
454,Toxicroak,4,Poison,Fighting
455,Carnivine,4,Grass,
456,Finneon,4,Water,
457,Lumineon,4,Water,
458,Mantyke,4,Water,Flying
459,Snover,4,Grass,Ice
460,Abomasnow,4,Grass,Ice
461,Weavile,4,Dark,Ice
462,Magnezone,4,Electric,Steel
463,Lickilicky,4,Normal,
464,Rhyperior,4,Ground,Rock
465,Tangrowth,4,Grass,
466,Electivire,4,Electric,
467,Magmortar,4,Fire,
468,Togekiss,4,Fairy,Flying
469,Yanmega,4,Bug,Flying
470,Leafeon,4,Grass,
471,Glaceon,4,Ice,
472,Gliscor,4,Ground,Flying
473,Mamoswine,4,Ice,Ground
474,Porygon-Z,4,Normal,
475,Gallade,4,Psychic,Fighting
476,Probopass,4,Rock,Steel
477,Dusknoir,4,Ghost,
478,Froslass,4,Ice,Ghost
479,Rotom,4,Electric,Ghost
480,Uxie,4,Psychic,
481,Mesprit,4,Psychic,
482,Azelf,4,Psychic,
483,Dialga,4,Steel,Dragon
484,Palkia,4,Water,Dragon
485,Heatran,4,Fire,Steel
486,Regigigas,4,Normal,
487,Giratina,4,Ghost,Dragon
488,Cresselia,4,Psychic,
489,Phione,4,Water,
490,Manaphy,4,Water,
491,Darkrai,4,Dark,
492,Shaymin,4,Grass,
493,Arceus,4,Normal,
494,Victini,5,Psychic,Fire
495,Snivy,5,Grass,
496,Servine,5,Grass,
497,Serperior,5,Grass,
498,Tepig,5,Fire,
499,Pignite,5,Fire,Fighting
500,Emboar,5,Fire,Fighting
501,Oshawott,5,Water,
502,Dewott,5,Water,
503,Samurott,5,Water,
504,Patrat,5,Normal,
505,Watchog,5,Normal,
506,Lillipup,5,Normal,
507,Herdier,5,Normal,
508,Stoutland,5,Normal,
509,Purrloin,5,Dark,
510,Liepard,5,Dark,
511,Pansage,5,Grass,
512,Simisage,5,Grass,
513,Pansear,5,Fire,
514,Simisear,5,Fire,
515,Panpour,5,Water,
516,Simipour,5,Water,
517,Munna,5,Psychic,
518,Musharna,5,Psychic,
519,Pidove,5,Normal,Flying
520,Tranquill,5,Normal,Flying
521,Unfezant,5,Normal,Flying
522,Blitzle,5,Electric,
523,Zebstrika,5,Electric,
524,Roggenrola,5,Rock,
525,Boldore,5,Rock,
526,Gigalith,5,Rock,
527,Woobat,5,Psychic,Flying
528,Swoobat,5,Psychic,Flying
529,Drilbur,5,Ground,
530,Excadrill,5,Ground,Steel
531,Audino,5,Normal,
532,Timburr,5,Fighting,
533,Gurdurr,5,Fighting,
534,Conkeldurr,5,Fighting,
535,Tympole,5,Water,
536,Palpitoad,5,Water,Ground
537,Seismitoad,5,Water,Ground
538,Throh,5,Fighting,
539,Sawk,5,Fighting,
540,Sewaddle,5,Bug,Grass
541,Swadloon,5,Bug,Grass
542,Leavanny,5,Bug,Grass
543,Venipede,5,Bug,Poison
544,Whirlipede,5,Bug,Poison
545,Scolipede,5,Bug,Poison
546,Cottonee,5,Grass,Fairy
547,Whimsicott,5,Grass,Fairy
548,Petilil,5,Grass,
549,Lilligant,5,Grass,
550,Basculin,5,Water,
551,Sandile,5,Ground,Dark
552,Krokorok,5,Ground,Dark
553,Krookodile,5,Ground,Dark
554,Darumaka,5,Fire,
555,Darmanitan,5,Fire,
556,Maractus,5,Grass,
557,Dwebble,5,Bug,Rock
558,Crustle,5,Bug,Rock
559,Scraggy,5,Dark,Fighting
560,Scrafty,5,Dark,Fighting
561,Sigilyph,5,Psychic,Flying
562,Yamask,5,Ghost,
563,Cofagrigus,5,Ghost,
564,Tirtouga,5,Water,Rock
565,Carracosta,5,Water,Rock
566,Archen,5,Rock,Flying
567,Archeops,5,Rock,Flying
568,Trubbish,5,Poison,
569,Garbodor,5,Poison,
570,Zorua,5,Dark,
571,Zoroark,5,Dark,
572,Minccino,5,Normal,
573,Cinccino,5,Normal,
574,Gothita,5,Psychic,
575,Gothorita,5,Psychic,
576,Gothitelle,5,Psychic,
577,Solosis,5,Psychic,
578,Duosion,5,Psychic,
579,Reuniclus,5,Psychic,
580,Ducklett,5,Water,Flying
581,Swanna,5,Water,Flying
582,Vanillite,5,Ice,
583,Vanillish,5,Ice,
584,Vanilluxe,5,Ice,
585,Deerling,5,Normal,Grass
586,Sawsbuck,5,Normal,Grass
587,Emolga,5,Electric,Flying
588,Karrablast,5,Bug,
589,Escavalier,5,Bug,Steel
590,Foongus,5,Grass,Poison
591,Amoonguss,5,Grass,Poison
592,Frillish,5,Water,Ghost
593,Jellicent,5,Water,Ghost
594,Alomomola,5,Water,
595,Joltik,5,Bug,Electric
596,Galvantula,5,Bug,Electric
597,Ferroseed,5,Grass,Steel
598,Ferrothorn,5,Grass,Steel
599,Klink,5,Steel,
600,Klang,5,Steel,
601,Klinklang,5,Steel,
602,Tynamo,5,Electric,
603,Eelektrik,5,Electric,
604,Eelektross,5,Electric,
605,Elgyem,5,Psychic,
606,Beheeyem,5,Psychic,
607,Litwick,5,Ghost,Fire
608,Lampent,5,Ghost,Fire
609,Chandelure,5,Ghost,Fire
610,Axew,5,Dragon,
611,Fraxure,5,Dragon,
612,Haxorus,5,Dragon,
613,Cubchoo,5,Ice,
614,Beartic,5,Ice,
615,Cryogonal,5,Ice,
616,Shelmet,5,Bug,
617,Accelgor,5,Bug,
618,Stunfisk,5,Ground,Electric
619,Mienfoo,5,Fighting,
620,Mienshao,5,Fighting,
621,Druddigon,5,Dragon,
622,Golett,5,Ground,Ghost
623,Golurk,5,Ground,Ghost
624,Pawniard,5,Dark,Steel
625,Bisharp,5,Dark,Steel
626,Bouffalant,5,Normal,
627,Rufflet,5,Normal,Flying
628,Braviary,5,Normal,Flying
629,Vullaby,5,Dark,Flying
630,Mandibuzz,5,Dark,Flying
631,Heatmor,5,Fire,
632,Durant,5,Bug,Steel
633,Deino,5,Dark,Dragon
634,Zweilous,5,Dark,Dragon
635,Hydreigon,5,Dark,Dragon
636,Larvesta,5,Bug,Fire
637,Volcarona,5,Bug,Fire
638,Cobalion,5,Steel,Fighting
639,Terrakion,5,Rock,Fighting
640,Virizion,5,Grass,Fighting
641,Tornadus,5,Flying,
642,Thundurus,5,Electric,Flying
643,Reshiram,5,Dragon,Fire
644,Zekrom,5,Dragon,Electric
645,Landorus,5,Ground,Flying
646,Kyurem,5,Dragon,Ice
647,Keldeo,5,Water,Fighting
648,Meloetta,5,Normal,Psychic
649,Genesect,5,Bug,Steel
650,Chespin,6,Grass,
651,Quilladin,6,Grass,
652,Chesnaught,6,Grass,Fighting
653,Fennekin,6,Fire,
654,Braixen,6,Fire,
655,Delphox,6,Fire,Psychic
656,Froakie,6,Water,
657,Frogadier,6,Water,
658,Greninja,6,Water,Dark
659,Bunnelby,6,Normal,
660,Diggersby,6,Normal,Ground
661,Fletchling,6,Normal,Flying
662,Fletchinder,6,Fire,Flying
663,Talonflame,6,Fire,Flying
664,Scatterbug,6,Bug,
665,Spewpa,6,Bug,
666,Vivillon,6,Bug,Flying
667,Litleo,6,Fire,Normal
668,Pyroar,6,Fire,Normal
669,Flabebe,6,Fairy,
670,Floette,6,Fairy,
671,Florges,6,Fairy,
672,Skiddo,6,Grass,
673,Gogoat,6,Grass,
674,Pancham,6,Fighting,
675,Pangoro,6,Fighting,Dark
676,Furfrou,6,Normal,
677,Espurr,6,Psychic,
678,Meowstic,6,Psychic,
679,Honedge,6,Steel,Ghost
680,Doublade,6,Steel,Ghost
681,Aegislash,6,Steel,Ghost
682,Spritzee,6,Fairy,
683,Aromatisse,6,Fairy,
684,Swirlix,6,Fairy,
685,Slurpuff,6,Fairy,
686,Inkay,6,Dark,Psychic
687,Malamar,6,Dark,Psychic
688,Binacle,6,Rock,Water
689,Barbaracle,6,Rock,Water
690,Skrelp,6,Poison,Water
691,Dragalge,6,Poison,Dragon
692,Clauncher,6,Water,
693,Clawitzer,6,Water,
694,Helioptile,6,Electric,Normal
695,Heliolisk,6,Electric,Normal
696,Tyrunt,6,Rock,Dragon
697,Tyrantrum,6,Rock,Dragon
698,Amaura,6,Rock,Ice
699,Aurorus,6,Rock,Ice
700,Sylveon,6,Fairy,
701,Hawlucha,6,Fighting,Flying
702,Dedenne,6,Electric,Fairy
703,Carbink,6,Rock,Fairy
704,Goomy,6,Dragon,
705,Sliggoo,6,Dragon,
706,Goodra,6,Dragon,
707,Klefki,6,Steel,Fairy
708,Phantump,6,Ghost,Grass
709,Trevenant,6,Ghost,Grass
710,Pumpkaboo,6,Ghost,Grass
711,Gourgeist,6,Ghost,Grass
712,Bergmite,6,Ice,
713,Avalugg,6,Ice,
714,Noibat,6,Flying,Dragon
715,Noivern,6,Flying,Dragon
716,Xerneas,6,Fairy,
717,Yveltal,6,Dark,Flying
718,Zygarde,6,Dragon,Ground
719,Diancie,6,Rock,Fairy
720,Hoopa,6,Psychic,Ghost
721,Volcanion,6,Fire,Water
722,Rowlet,7,Grass,Flying
723,Dartrix,7,Grass,Flying
724,Decidueye,7,Grass,Ghost
725,Litten,7,Fire,
726,Torracat,7,Fire,
727,Incineroar,7,Fire,Dark
728,Popplio,7,Water,
729,Brionne,7,Water,
730,Primarina,7,Water,Fairy
731,Pikipek,7,Normal,Flying
732,Trumbeak,7,Normal,Flying
733,Toucannon,7,Normal,Flying
734,Yungoos,7,Normal,
735,Gumshoos,7,Normal,
736,Grubbin,7,Bug,
737,Charjabug,7,Bug,Electric
738,Vikavolt,7,Bug,Electric
739,Crabrawler,7,Fighting,
740,Crabominable,7,Fighting,Ice
741,Oricorio,7,Fire,Flying
742,Cutiefly,7,Bug,Fairy
743,Ribombee,7,Bug,Fairy
744,Rockruff,7,Rock,
745,Lycanroc,7,Rock,
746,Wishiwashi,7,Water,
747,Mareanie,7,Poison,Water
748,Toxapex,7,Poison,Water
749,Mudbray,7,Ground,
750,Mudsdale,7,Ground,
751,Dewpider,7,Water,Bug
752,Araquanid,7,Water,Bug
753,Fomantis,7,Grass,
754,Lurantis,7,Grass,
755,Morelull,7,Grass,Fairy
756,Shiinotic,7,Grass,Fairy
757,Salandit,7,Poison,Fire
758,Salazzle,7,Poison,Fire
759,Stufful,7,Normal,Fighting
760,Bewear,7,Normal,Fighting
761,Bounsweet,7,Grass,
762,Steenee,7,Grass,
763,Tsareena,7,Grass,
764,Comfey,7,Fairy,
765,Oranguru,7,Normal,Psychic
766,Passimian,7,Fighting,
767,Wimpod,7,Bug,Water
768,Golisopod,7,Bug,Water
769,Sandygast,7,Ghost,Ground
770,Palossand,7,Ghost,Ground
771,Pyukumuku,7,Water,
772,Type: Null,7,Normal,
773,Silvally,7,Normal,
774,Minior,7,Rock,Flying
775,Komala,7,Normal,
776,Turtonator,7,Fire,Dragon
777,Togedemaru,7,Electric,Steel
778,Mimikyu,7,Ghost,Fairy
779,Bruxish,7,Water,Psychic
780,Drampa,7,Normal,Dragon
781,Dhelmise,7,Ghost,Grass
782,Jangmo-o,7,Dragon,
783,Hakamo-o,7,Dragon,Fighting
784,Kommo-o,7,Dragon,Fighting
785,Tapu Koko,7,Electric,Fairy
786,Tapu Lele,7,Psychic,Fairy
787,Tapu Bulu,7,Grass,Fairy
788,Tapu Fini,7,Water,Fairy
789,Cosmog,7,Psychic,
790,Cosmoem,7,Psychic,
791,Solgaleo,7,Psychic,Steel
792,Lunala,7,Psychic,Ghost
793,Nihilego,7,Rock,Poison
794,Buzzwole,7,Bug,Fighting
795,Pheromosa,7,Bug,Fighting
796,Xurkitree,7,Electric,
797,Celesteela,7,Steel,Flying
798,Kartana,7,Grass,Steel
799,Guzzlord,7,Dark,Dragon
800,Necrozma,7,Psychic,
801,Magearna,7,Steel,Fairy
802,Marshadow,7,Fighting,Ghost
803,Poipole,7,Poison,
804,Naganadel,7,Poison,Dragon
805,Stakataka,7,Rock,Steel
806,Blacephalon,7,Fire,Ghost
807,Zeraora,7,Electric,
808,Meltan,7,Steel,
809,Melmetal,7,Steel,
810,Grookey,8,Grass,
811,Thwackey,8,Grass,
812,Rillaboom,8,Grass,
813,Scorbunny,8,Fire,
814,Raboot,8,Fire,
815,Cinderace,8,Fire,
816,Sobble,8,Water,
817,Drizzile,8,Water,
818,Inteleon,8,Water,
819,Skwovet,8,Normal,
820,Greedent,8,Normal,
821,Rookidee,8,Flying,
822,Corvisquire,8,Flying,
823,Corviknight,8,Flying,Steel
824,Blipbug,8,Bug,
825,Dottler,8,Bug,Psychic
826,Orbeetle,8,Bug,Psychic
827,Nickit,8,Dark,
828,Thievul,8,Dark,
829,Gossifleur,8,Grass,
830,Eldegoss,8,Grass,
831,Wooloo,8,Normal,
832,Dubwool,8,Normal,
833,Chewtle,8,Water,
834,Drednaw,8,Water,Rock
835,Yamper,8,Electric,
836,Boltund,8,Electric,
837,Rolycoly,8,Rock,
838,Carkol,8,Rock,Fire
839,Coalossal,8,Rock,Fire
840,Applin,8,Grass,Dragon
841,Flapple,8,Grass,Dragon
842,Appletun,8,Grass,Dragon
843,Silicobra,8,Ground,
844,Sandaconda,8,Ground,
845,Cramorant,8,Flying,Water
846,Arrokuda,8,Water,
847,Barraskewda,8,Water,
848,Toxel,8,Electric,Poison
849,Toxtricity,8,Electric,Poison
850,Sizzlipede,8,Fire,Bug
851,Centiskorch,8,Fire,Bug
